RX 0000001 SFF 000007E7 8 HEX   02  3E  00  00  00  00  00  00 1460894019 06.04.2023 12:45:55.797 0031025285 3133890640
RX 0000002 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460920156 06.04.2023 12:45:55.824 0031025285 3134160640
RX 0000003 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460922075 06.04.2023 12:45:55.826 0031025285 3134180640
RX 0000004 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460923995 06.04.2023 12:45:55.827 0031025285 3134190640
RX 0000005 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460925105 06.04.2023 12:45:55.829 0031025285 3134210640
RX 0000006 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460927117 06.04.2023 12:45:55.831 0031025285 3134230640
RX 0000007 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460929109 06.04.2023 12:45:55.833 0031025285 3134250640
RX 0000008 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460931157 06.04.2023 12:45:55.835 0031025285 3134270640
RX 0000009 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460933389 06.04.2023 12:45:55.837 0031025285 3134290640
RX 0000010 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460935363 06.04.2023 12:45:55.839 0031025285 3134310640
RX 0000011 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460937319 06.04.2023 12:45:55.841 0031025285 3134330640
RX 0000012 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460939514 06.04.2023 12:45:55.843 0031025285 3134350640
RX 0000013 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460940661 06.04.2023 12:45:55.844 0031025285 3134360640
RX 0000014 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460941846 06.04.2023 12:45:55.845 0031025285 3134370640
RX 0000015 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460943030 06.04.2023 12:45:55.847 0031025285 3134390640
RX 0000016 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460944196 06.04.2023 12:45:55.848 0031025285 3134400640
RX 0000017 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460945380 06.04.2023 12:45:55.849 0031025285 3134410640
RX 0000018 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460946582 06.04.2023 12:45:55.850 0031025285 3134420640
RX 0000019 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460947748 06.04.2023 12:45:55.851 0031025285 3134430640
RX 0000020 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460949759 06.04.2023 12:45:55.853 0031025285 3134450640
RX 0000021 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460950944 06.04.2023 12:45:55.854 0031025285 3134460640
RX 0000022 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460952128 06.04.2023 12:45:55.856 0031025285 3134480640
RX 0000023 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460953312 06.04.2023 12:45:55.857 0031025285 3134490640
RX 0000024 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460954496 06.04.2023 12:45:55.858 0031025285 3134500640
RX 0000025 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460955644 06.04.2023 12:45:55.859 0031025285 3134510640
RX 0000026 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460956809 06.04.2023 12:45:55.860 0031025285 3134520640
RX 0000027 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460957994 06.04.2023 12:45:55.861 0031025285 3134530640
RX 0000028 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460959160 06.04.2023 12:45:55.863 0031025285 3134550640
RX 0000029 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460961281 06.04.2023 12:45:55.865 0031025285 3134570640
RX 0000030 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460962465 06.04.2023 12:45:55.866 0031025285 3134580640
RX 0000031 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460963631 06.04.2023 12:45:55.867 0031025285 3134590640
RX 0000032 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460965661 06.04.2023 12:45:55.869 0031025285 3134610640
RX 0000033 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460967622 06.04.2023 12:45:55.871 0031025285 3134630640
RX 0000034 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460969560 06.04.2023 12:45:55.873 0031025285 3134650640
RX 0000035 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460971534 06.04.2023 12:45:55.875 0031025285 3134670640
RX 0000036 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460973545 06.04.2023 12:45:55.877 0031025285 3134690640
RX 0000037 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460975667 06.04.2023 12:45:55.879 0031025285 3134710640
RX 0000038 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460976869 06.04.2023 12:45:55.880 0031025285 3134720640
RX 0000039 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460978072 06.04.2023 12:45:55.882 0031025285 3134740640
RX 0000040 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460979274 06.04.2023 12:45:55.883 0031025285 3134750640
RX 0000041 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460981285 06.04.2023 12:45:55.885 0031025285 3134770640
RX 0000042 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460983407 06.04.2023 12:45:55.887 0031025285 3134790640
RX 0000043 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460984646 06.04.2023 12:45:55.888 0031025285 3134800640
RX 0000044 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460986749 06.04.2023 12:45:55.890 0031025285 3134820640
RX 0000045 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460987933 06.04.2023 12:45:55.891 0031025285 3134830640
RX 0000046 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460989981 06.04.2023 12:45:55.893 0031025285 3134850640
RX 0000047 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460991110 06.04.2023 12:45:55.895 0031025285 3134870640
RX 0000048 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460992295 06.04.2023 12:45:55.896 0031025285 3134880640
RX 0000049 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460993442 06.04.2023 12:45:55.897 0031025285 3134890640
RX 0000050 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460994663 06.04.2023 12:45:55.898 0031025285 3134900640
RX 0000051 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460996582 06.04.2023 12:45:55.900 0031025285 3134920640
RX 0000052 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460997656 06.04.2023 12:45:55.901 0031025285 3134930640
RX 0000053 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460998859 06.04.2023 12:45:55.902 0031025285 3134940640
RX 0000054 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461000063 06.04.2023 12:45:55.904 0031025285 3134960640
RX 0000055 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461001137 06.04.2023 12:45:55.905 0031025285 3134970640
RX 0000056 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461003277 06.04.2023 12:45:55.907 0031025285 3134990640
RX 0000057 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461004534 06.04.2023 12:45:55.908 0031025285 3135000640
RX 0000058 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461006601 06.04.2023 12:45:55.910 0031025285 3135020640
RX 0000059 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461007803 06.04.2023 12:45:55.911 0031025285 3135030640
RX 0000060 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461008987 06.04.2023 12:45:55.912 0031025285 3135040640
RX 0000061 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461010208 06.04.2023 12:45:55.914 0031025285 3135060640
